location,name,category
"New York City, NY",Ichiran,food
"New York City, NY",Davelle,food
"New York City, NY",Chelsea Market,food
"New York City, NY",Calle Dao,food
"New York City, NY",Dominique Ansel Bakery,food
"New York City, NY",KazuNori,food
"New York City, NY",Jongro BBQ,food
"New York City, NY",Glossier,shopping
"New York City, NY",Gentlemonster,shopping
"New York City, NY",Jo Malone,shopping
"New York City, NY",MoMa Design Store,shopping
"New York City, NY",Central Park,parks
"New York City, NY",Statue of Liberty,monuments
"New York City, NY",The Oculus,monuments
"New York City, NY",Charging Bull,monuments
"Chicago, IL",Au Cheval,food
"Chicago, IL",Green Street Meats,food
"Chicago, IL",Alinea,food
"Chicago, IL",Pequod's Pizza,food
"Chicago, IL",Kasama,food
"Chicago, IL",Rose Mary,food
"Chicago, IL",Monteverde,food
"Chicago, IL",Water Tower Place,shopping
"Chicago, IL",Block 37,shopping
"Chicago, IL",Roosevelt Collection Shops,shopping
"Chicago, IL",900 N Michigan Shops,shopping
"Chicago, IL",Grant Park,parks
"Chicago, IL",Buckingham Fountain,monuments
"Chicago, IL",The Bean/ Cloud Gate,monuments
"Chicago, IL",Calder's Flamingo,monuments
"Paris, France",Le Cinq,food
"Paris, France",Le Bernardin,food
"Paris, France",Eiffel Tower,monuments
"Paris, France",Grand Palais,monuments
"Paris, France",Les Invalides,monuments
"Paris, France",Arc de Triomphe,monuments
"Paris, France",The Basilica of the Sacred Heart of Paris,monuments
"Paris, France",Opera Garnier,monuments
"Paris, France",Musée d'Orsay,monuments
"Paris, France",Galeries Lafayette Haussmann,shopping
"Paris, France",Westfield Les 4 Temps,shopping
"Paris, France",Parc Monceau,parks
"Paris, France",Panthéon,monuments
"Paris, France",Place de la Concorde,monuments
"Paris, France",Conciergerie,monuments
"Paris, France",Le Pavillon de la Reine,hotels
"Paris, France",Pavillon Faubourg Saint Germain,hotels
"Paris, France",Hôtel Madame Rêve,hotels
"Paris, France",Ritz Paris,hotels
"Paris, France",Hôtel Dame des Arts,hotels
"Paris, France",Hotel Rochechouart,hotels
"San Francisco, CA",Tartine Bakery,food
"San Francisco, CA",The Slanted Door,food
"San Francisco, CA",Swan Oyster Depot,food
"San Francisco, CA",House of Prime Rib,food
"San Francisco, CA",Gary Danko,food
"San Francisco, CA",Kezar Stadium,sports
"San Francisco, CA",Oracle Park,sports
"San Francisco, CA",Chase Center,sports
"San Francisco, CA",John O'Connell Tech Soccer Field,sports
"San Francisco, CA",Union Square,shopping
"San Francisco, CA",Westfield San Francisco Centre,shopping
"San Francisco, CA",Golden Gate Park,parks
"San Francisco, CA",Levi's Stadium,sports
"San Francisco, CA",San Francisco Museum of Modern Art (SFMOMA),culture
"San Francisco, CA",San Francisco Public Library,culture
"San Francisco, CA",City Lights Booksellers & Publishers,culture
"San Francisco, CA",San Francisco Ballet,culture
"San Francisco, CA",Kinokuniya Book Store,culture
"San Francisco, CA",War Memorial Opera House,culture
"San Francisco, CA",Asian Art Museum,museums
"San Francisco, CA",Legion of Honor,museums
"San Francisco, CA",Contemporary Jewish Museum,museums
"San Francisco, CA",Walt Disney Family Museum,museums
"San Francisco, CA",Museum of Ice Cream,museums
"San Francisco, CA",Aquarium of the Bay,museums
"Honolulu, HI",Waikiki Beach,parks
"Honolulu, HI",Lanikai Beach,parks
"Honolulu, HI",Ala Moana Beach Park,parks
"Honolulu, HI",Hanauma Bay,parks
"Honolulu, HI",Sandy Beach Park,parks
"Honolulu, HI",Ala Moana Center,shopping
"Honolulu, HI",Royal Hawaiian Center,shopping
"Honolulu, HI",Waikiki Shopping Plaza,shopping
"Honolulu, HI",Alan Wong's Pineapple Room,food
"Honolulu, HI",Chef Mavro,food
"Honolulu, HI",Morimoto Waikiki,food
"Honolulu, HI",Helena's Hawaiian Food,food
"Honolulu, HI",The Pig and the Lady,food
"Honolulu, HI",MW Restaurant,food
"Honolulu, HI",Ono Seafood,food
"Honolulu, HI",Honolulu Museum of Art,museums
"Honolulu, HI",Pearl Harbor National Memorial,museums
"Honolulu, HI",Bishop Museum,museums
"Honolulu, HI",The Royal Hawaiian,hotels
"Honolulu, HI",Halekulani Hotel,hotels
"Honolulu, HI","Moana Surfrider, A Westin Resort & Spa",hotels
"Honolulu, HI",Lyon Arboretum,parks
"Honolulu, HI",Foster Botanical Garden,parks
"Honolulu, HI",Magic Island,parks
"Honolulu, HI",Kapiolani Park,parks
"Honolulu, HI",Ala Moana Beach Park,parks
"Banff, Canada",Lake Louise,parks
"Banff, Canada",Crowfoot Glacier,parks
"Banff, Canada",Bow Lake,parks
"Banff, Canada",Peyto Lake,parks
"Banff, Canada",Waterfowl Lake,parks
"Banff, Canada",Mistaya Canyon,parks
"Banff, Canada",Lakke Minnewanka,parks
"Banff, Canada",Mount Norquay,parks
"Banff, Canada",Banff Caribou Lodge and Spa,hotels
"Banff, Canada",Farm & Fire,food
"Banff, Canada",El Toro,food
"Banff, Canada",Indian Curry House,food
"Banff, Canada",Beavertails Banff,food
"Banff, Canada",Pacini,food
"Banff, Canada",Bighorn Gifts,shopping
"Banff, Canada",Big Bear Trading Company,shopping
"Banff, Canada",Cascade Shops,shopping
"Banff, Canada",UNLTD Bordshop,shopping
"Banff, Canada",Cascade of Time Garden,parks
"Banff, Canada",Cave and Basin,culture
"Banff, Canada",Bear Street Tavern,food
"Banff, Canada",Chuck's Steakhouse,food
"Banff, Canada",Magpie & Stump,food
"Banff, Canada",Columbia Icefield,parks
